anomaly_id,stage,timestamp,phase,guilty_feature,guilty_feature_score,anomalous_sensors,anomalous_sensor_scores,root_causes,propagation_paths,confidence,anomaly_sensors,candidate_path_index,candidate_path_nodes,candidate_path,path_valid,reason
anom_0,P3,2019-12-06 10:13:08,normal,FIT301.Pv,1.5745965470367964,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]","{""FIT301.Pv"": 1.5745965470367964, ""DPIT301.Pv"": 1.553788207924662, ""AIT302.Pv"": 0.0502185309210914}","[[""AIT302.Pv"", 0.2009512485136742], [""FIT301.Pv"", 0.2009512485136742], [""AIT301.Pv"", 0.20095124851367419]]","[[""AIT302.Pv""], [""FIT301.Pv""], [""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT302.Pv""]]",0.0,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]",1,"[""AIT302.Pv""]",AIT302.Pv,False,"The path only covers AIT302.Pv, which is not fully aligned with the other anomaly sensors FIT301.Pv and DPIT301.Pv."
anom_0,P3,2019-12-06 10:13:08,normal,FIT301.Pv,1.5745965470367964,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]","{""FIT301.Pv"": 1.5745965470367964, ""DPIT301.Pv"": 1.553788207924662, ""AIT302.Pv"": 0.0502185309210914}","[[""AIT302.Pv"", 0.2009512485136742], [""FIT301.Pv"", 0.2009512485136742], [""AIT301.Pv"", 0.20095124851367419]]","[[""AIT302.Pv""], [""FIT301.Pv""], [""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT302.Pv""]]",0.0,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]",2,"[""FIT301.Pv""]",FIT301.Pv,False,"The path only covers FIT301.Pv, but not DPIT301.Pv and AIT302.Pv."
anom_0,P3,2019-12-06 10:13:08,normal,FIT301.Pv,1.5745965470367964,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]","{""FIT301.Pv"": 1.5745965470367964, ""DPIT301.Pv"": 1.553788207924662, ""AIT302.Pv"": 0.0502185309210914}","[[""AIT302.Pv"", 0.2009512485136742], [""FIT301.Pv"", 0.2009512485136742], [""AIT301.Pv"", 0.20095124851367419]]","[[""AIT302.Pv""], [""FIT301.Pv""], [""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT302.Pv""]]",0.8,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]",3,"[""FIT301.Pv"", ""DPIT301.Pv""]",FIT301.Pv -> DPIT301.Pv,True,"The path covers the anomalous sensors FIT301.Pv and DPIT301.Pv, which are flow-related and pressure-drop measurements respectively, in a plausible causal direction. However, AIT302.Pv, an analyzer indicator transmitter, is not included."
anom_0,P3,2019-12-06 10:13:08,normal,FIT301.Pv,1.5745965470367964,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]","{""FIT301.Pv"": 1.5745965470367964, ""DPIT301.Pv"": 1.553788207924662, ""AIT302.Pv"": 0.0502185309210914}","[[""AIT302.Pv"", 0.2009512485136742], [""FIT301.Pv"", 0.2009512485136742], [""AIT301.Pv"", 0.20095124851367419]]","[[""AIT302.Pv""], [""FIT301.Pv""], [""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT302.Pv""]]",0.0,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]",4,"[""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv""]",AIT301.Pv -> LIT301.Pv -> AIT303.Pv -> FIT301.Pv,False,"The path does not cover AIT302.Pv and DPIT301.Pv, which are key anomaly sensors."
anom_0,P3,2019-12-06 10:13:08,normal,FIT301.Pv,1.5745965470367964,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]","{""FIT301.Pv"": 1.5745965470367964, ""DPIT301.Pv"": 1.553788207924662, ""AIT302.Pv"": 0.0502185309210914}","[[""AIT302.Pv"", 0.2009512485136742], [""FIT301.Pv"", 0.2009512485136742], [""AIT301.Pv"", 0.20095124851367419]]","[[""AIT302.Pv""], [""FIT301.Pv""], [""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT302.Pv""]]",0.0,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]",5,"[""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv"", ""DPIT301.Pv""]",AIT301.Pv -> LIT301.Pv -> AIT303.Pv -> FIT301.Pv -> DPIT301.Pv,False,The path does not cover AIT302.Pv and the order is not plausible as it skips key sensors.
anom_0,P3,2019-12-06 10:13:08,normal,FIT301.Pv,1.5745965470367964,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]","{""FIT301.Pv"": 1.5745965470367964, ""DPIT301.Pv"": 1.553788207924662, ""AIT302.Pv"": 0.0502185309210914}","[[""AIT302.Pv"", 0.2009512485136742], [""FIT301.Pv"", 0.2009512485136742], [""AIT301.Pv"", 0.20095124851367419]]","[[""AIT302.Pv""], [""FIT301.Pv""], [""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT302.Pv""]]",0.0,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]",6,"[""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""DPIT301.Pv""]",AIT301.Pv -> LIT301.Pv -> AIT303.Pv -> DPIT301.Pv,False,"Path does not cover FIT301.Pv and AIT302.Pv, and the causal direction is implausible."
anom_0,P3,2019-12-06 10:13:08,normal,FIT301.Pv,1.5745965470367964,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]","{""FIT301.Pv"": 1.5745965470367964, ""DPIT301.Pv"": 1.553788207924662, ""AIT302.Pv"": 0.0502185309210914}","[[""AIT302.Pv"", 0.2009512485136742], [""FIT301.Pv"", 0.2009512485136742], [""AIT301.Pv"", 0.20095124851367419]]","[[""AIT302.Pv""], [""FIT301.Pv""], [""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""FIT301.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT303.Pv"", ""DPIT301.Pv""], [""AIT301.Pv"", ""LIT301.Pv"", ""AIT302.Pv""]]",0.0,"[""FIT301.Pv"", ""DPIT301.Pv"", ""AIT302.Pv""]",7,"[""AIT301.Pv"", ""LIT301.Pv"", ""AIT302.Pv""]",AIT301.Pv -> LIT301.Pv -> AIT302.Pv,False,The path does not cover the DPIT301.Pv sensor and has an incorrect order.
anom_1,P1,2019-12-06 10:13:57,normal,LIT101.Pv,0.0263666144480704,"[""LIT101.Pv""]","{""LIT101.Pv"": 0.0263666144480704}","[[""LIT101.Pv"", 0.20095124851367419]]","[[""LIT101.Pv""]]",1.0,"[""LIT101.Pv""]",1,"[""LIT101.Pv""]",LIT101.Pv,True,"The path covers the anomalous sensor LIT101.Pv, follows a plausible causal direction, and is complete within the stage."
anom_2,P2,2019-12-06 10:14:41,normal,FIT201.Pv,2.34595346831128,"[""FIT201.Pv""]","{""FIT201.Pv"": 2.34595346831128}","[[""AIT201.Pv"", 0.2009512485136742], [""FIT201.Pv"", 0.20095124851367419], [""AIT203.Pv"", 0.20095124851367419]]","[[""FIT201.Pv""]]",0.9,"[""FIT201.Pv""]",1,"[""FIT201.Pv""]",FIT201.Pv,True,The path covers the anomalous sensor FIT201.Pv and follows a plausible causal direction within the same stage.
anom_3,P4,2019-12-06 10:19:33,normal,AIT402.Pv,7.869335739967901,"[""AIT402.Pv""]","{""AIT402.Pv"": 7.869335739967901}","[[""AIT402.Pv"", 0.9381688466111772], [""LIT401.Pv"", 0.20095124851367419], [""FIT401.Pv"", 0.20095124851367419]]","[[""AIT402.Pv""], [""LIT401.Pv"", ""AIT402.Pv""]]",0.8,"[""AIT402.Pv""]",1,"[""AIT402.Pv""]",AIT402.Pv,True,The path covers the anomalous sensor AIT402.Pv and follows a plausible causal direction within the same stage.
